"id","Date","Taxon","Latitude","Longitude","stateProvince","scientificName"
48304423,"2020-06-02",522193,43.0939259657,-72.6715096221,"Vermont","Alces alces"
7280017,"2017-07-14",522193,45.4653090234,-67.8141389086,"Maine","Alces alces"
48306094,"2020-06-02",522193,43.0906353586,-72.6646431671,"Vermont","Alces alces"
7284559,"2017-07-18",522193,64.24329,-146.0536233333,"Alaska","Alces alces"
7284585,"2017-07-14",522193,63.5808433333,-149.6232333333,"Alaska","Alces alces"
28099999,"2019-06-30",522193,38.9405466667,-106.9820783333,"Colorado","Alces alces"
28100269,"2018-10-16",522193,47.91859805,-117.0904059336,"Washington","Alces alces"
28100391,"2019-07-01",522193,43.6504233333,-110.7489583333,"Wyoming","Alces alces"
28100392,"2019-07-01",522193,43.6527816667,-110.7386666667,"Wyoming","Alces alces"
68027023,"2021-01-13",522193,42.7429697161,-96.5120951725,"Iowa","Alces alces"
7287037,"2014-03-08",522193,41.0794805477,-106.0121440887,"Wyoming","Alces alces"
28112718,"2017-07-28",522193,48.01692137,-117.40200728,"Washington","Alces alces"
7297718,"2017-07-31",522193,61.1999141262,-149.8816680908,"Alaska","Alces alces"
7297719,"2017-07-31",522193,61.1999141262,-149.8816680908,"Alaska","Alces alces"
7301186,"2017-07-08",522193,44.3458283333,-72.4524633333,"Vermont","Alces alces"
128684381,"2022-07-30",522193,40.1534285722,-105.5109031228,"Colorado","Alces alces"
48345125,"2018-07-07",522193,48.476708974,-113.3738998618,"Montana","Alces alces"
28137429,"2019-06-30",522193,60.1589861667,-149.39882,"Alaska","Alces alces"
48352854,"2019-09-22",415475,41.7457242414,-111.7481027171,"Utah","Alces alces shirasi"
128705978,"2022-05-16",522193,61.8015401814,-147.6693244696,"Alaska","Alces alces"
48362515,"2020-06-02",522193,45.23464667,-68.98364167,"Maine","Alces alces"
128723450,"2019-06-21",522193,43.7904282,-110.6817627,"Wyoming","Alces alces"
128723453,"2019-06-21",522193,43.6557657,-110.7182647,"Wyoming","Alces alces"
28153739,"2019-07-02",522193,42.6539413482,-112.3964853969,"Idaho","Alces alces"
128723652,"2018-07-12",522193,61.2175758,-149.8996785,"Alaska","Alces alces"
28153955,"2019-06-26",522193,61.0684806172,-149.8142638322,"Alaska","Alces alces"
107791796,"2017-12-06",522193,48.2019090373,-117.2800740793,"Washington","Alces alces"
107794569,"2022-02-26",522193,43.4658811238,-110.7326602242,"Wyoming","Alces alces"
88070384,"2021-07-12",1404404,46.0983274638,-69.9985152285,"Maine","Alces alces americana"
7334646,"2017-07-25",522193,43.49966932,-110.84218586,"Wyoming","Alces alces"
68092112,"2021-01-09",522193,41.6391997801,-103.6704097103,"Nebraska","Alces alces"
7338137,"2017-08-03",522193,44.4636223605,-111.4031766729,"Idaho","Alces alces"
68092269,"2021-01-11",522193,41.7171607355,-103.6079723119,"Nebraska","Alces alces"
148582247,"2023-02-11",522193,39.4711997749,-106.2955395991,"Colorado","Alces alces"
107809912,"2022-03-02",522193,60.8002521419,-161.7389849818,"Alaska","Alces alces"
